Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R01.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R02.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R03.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R04.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R05.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R06.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R07.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R08.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R09.d
A0A075B7B8	A0A075B7B8	A0A075B7B8_HUMAN	IGHV3OR16-12	Immunoglobulin heavy variable 3/OR16-12 (non-functional) (Fragment)									4295.93
A0A075B7D0	A0A075B7D0	A0A075B7D0_HUMAN	IGHV1OR15-1	Immunoglobulin heavy variable 1/OR15-1 (non-functional) (Fragment)	130890	109971	121694	113724	128518	124338	129057	134032	153993
A0A087WSX0	A0A087WSX0	LV545_HUMAN	IGLV5-45	Immunoglobulin lambda variable 5-45	8994.32	10765.7	8218.54	7214	7455.76	7878.18	8618.53	6096.33	5714.11
A0A087WSY6	A0A087WSY6	KVD15_HUMAN	IGKV3D-15	Immunoglobulin kappa variable 3D-15	30772.1	31576.1	29003.1	23734.3	29301.1	26257.2	24413.2	18904.5	52474.6
A0A087WSZ0	A0A087WSZ0	KVD08_HUMAN	IGKV1D-8	Immunoglobulin kappa variable 1D-8	9106.93	9112.69	9291.42	10769.8	9192.71	10519.2	10181.5	11336	8382.61
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8	KV311_HUMAN;KVD11_HUMAN	IGKV3-11;IGKV3D-11	Immunoglobulin kappa variable 3D-11	55652.7	55691	53917.3	53468.1	53099	49754.9	53403.7	42436.5	67938.6
A0A0A0MS15	A0A0A0MS15	HV349_HUMAN	IGHV3-49	Immunoglobulin heavy variable 3-49	121458	115576	125253	92882.2	132336	125966	141787	123345	327741
A0A0A0MS15;A0A0B4J1V6	A0A0B4J1V6;A0A0A0MS15	HV349_HUMAN;HV373_HUMAN	IGHV3-49;IGHV3-73	Immunoglobulin heavy variable 3-49	3261.05	4490.86	3369.26	3478.63	3627.27	1642.66	2073.03	4201.2	7970.23
A0A0A0MT36;A0A0C4DH26	A0A0C4DH26;A0A0A0MT36	KVD21_HUMAN;KVD41_HUMAN	IGKV6D-21;IGKV6D-41	Immunoglobulin kappa variable 6D-21	1781.66	1204.51	2814.58	1457.2	2547.08	2218.9	2633.77	2227.71	2014.89
A0A0B4J1U3	A0A0B4J1U3	LV136_HUMAN	IGLV1-36	Immunoglobulin lambda variable 1-36	32320.3	34283.8	31980.4	32417.8	32291.4	12333.4	29430.6	27740.8	23233.3
A0A0B4J1U7	A0A0B4J1U7	HV601_HUMAN	IGHV6-1	Immunoglobulin heavy variable 6-1	27160.6	24566.3	23655.5	12337.1	22964.5	20742.3	24808.2	20602.4	19318.8
A0A0B4J1V0	A0A0B4J1V0	HV315_HUMAN	IGHV3-15	Immunoglobulin heavy variable 3-15	26803.8	25093.4	21622.5	19572.4	24547	22343.2	26398.4	26438.8	29288.8
A0A0B4J1V2	A0A0B4J1V2	HV226_HUMAN	IGHV2-26	Immunoglobulin heavy variable 2-26	22400.6	19457.8	20755.2	21202.6	22507.2	21695.6	22325.1	22680	21185.8
A0A0B4J1V6	A0A0B4J1V6	HV373_HUMAN	IGHV3-73	Immunoglobulin heavy variable 3-73	14271.7	13196.9	16754	14756	14129.8	11895.4	15019.2	13897.2	13058.3
A0A0B4J1X5	A0A0B4J1X5	HV374_HUMAN	IGHV3-74	Immunoglobulin heavy variable 3-74	6894.45	7359.12	7456.91	6836.01	7574.18	6357.7	6652.87	7834.84	
A0A0B4J1X5;P01764;P01767	P01767;A0A0C4DH42;A0A0B4J1X5;P0DP03;P01768;P01764;A0A075B7B8;A0A0J9YY99;P0DP02;P01772;A0A075B7E8	HV323_HUMAN;HV353_HUMAN;HV374_HUMAN	IGHV3-23;IGHV3-53;IGHV3-74	Immunoglobulin heavy variable 3-74	833625	901534	890909	876436	823825	870511	706196	1.03584e+06	1.4109e+06
A0A0B4J1X5;P01780	A0A075B7F0;A0A0B4J1X5;P01762;P01780;S4R460;A0A0C4DH32;P01782;A0A0B4J1V1;P01763	HV307_HUMAN;HV374_HUMAN	IGHV3-7;IGHV3-74	Immunoglobulin heavy variable 3-74	3204.98	3613.62	3170.76	2566.23	1981.92	2944.34	4004.11	4194.37	
A0A0B4J1Y8	A0A0B4J1Y8	LV949_HUMAN	IGLV9-49	Immunoglobulin lambda variable 9-49	18518.2	17035.1	16248	17268.7	16002.3	16766.2	15078	15793.5	17147.5
A0A0B4J1Y9	A0A0B4J1Y9	HV372_HUMAN	IGHV3-72	Immunoglobulin heavy variable 3-72	24320.6	24488	24969.1	24382.6	24533.4	25389	24738.9	24445	23914.1
A0A0B4J2D9;P0DP09	P0DP09;A0A0B4J2D9	KV113_HUMAN;KVD13_HUMAN	IGKV1-13;IGKV1D-13	Immunoglobulin kappa variable 1D-13	2683.39	2111.45	1212.09		922.952				4525.19
A0A0B4J2H0	A0A0B4J2H0	HV69D_HUMAN	IGHV1-69D	Immunoglobulin heavy variable 1-69D	6206.12	5231.33	5559.14	6496.07	6940.02	5608.15	5459.3	5742.32	4477.88
A0A0B4J2H0;A0A0C4DH29;P01743;P0DP01	P01742;P01743;A0A0B4J2H0;A0A0C4DH29;P0DP01	HV103_HUMAN;HV108_HUMAN;HV146_HUMAN;HV69D_HUMAN	IGHV1-3;IGHV1-46;IGHV1-69D;IGHV1-8	Immunoglobulin heavy variable 1-69D	22089.5	22649	25605	25557.6	19123.4	22969		20943.7	32346.1
A0A0C4DH24	A0A0C4DH24	KV621_HUMAN	IGKV6-21	Immunoglobulin kappa variable 6-21	20228	19527.4	19836.9	20891.1	20211.3	21183.4	19675.5	21328.7	16621.9
A0A0C4DH25	A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	Immunoglobulin kappa variable 3D-20	22342.7	15501.6	19440.4	15336	17332.9	18188.9	12070	18261.3	39119.2
A0A0C4DH25;P01619	A0A0C4DH25;P01619	KV320_HUMAN;KVD20_HUMAN	IGKV3-20;IGKV3D-20	Immunoglobulin kappa variable 3D-20	5961.16	8411.41	4052.41	4226.88	4097.82	4181.84	5603.15	4865.71	5064.53
A0A0C4DH29	A0A0C4DH29	HV103_HUMAN	IGHV1-3	Immunoglobulin heavy variable 1-3	6168.08	5833.45	4548.66	5096.95	5477.94	5457.46	5926.3	6085.92	5596.22
A0A0C4DH31	A0A0C4DH31	HV118_HUMAN	IGHV1-18	Immunoglobulin heavy variable 1-18	29205.3	32868.4	29178.7	32073.3	32408.1	30858.7	31670.1	34097.3	29423
A0A0C4DH31;P23083	A0A0C4DH31;P23083	HV102_HUMAN;HV118_HUMAN	IGHV1-18;IGHV1-2	Immunoglobulin heavy variable 1-18							17992.3	21145.2	
A0A0C4DH33	A0A0C4DH33	HV124_HUMAN	IGHV1-24	Immunoglobulin heavy variable 1-24	3323.23	4238.58	4279.15	3431.46	3001.71	3390.44	3153.21	4029.79	3589.32
A0A0C4DH36	A0A0C4DH36	HV338_HUMAN	IGHV3-38	Probable non-functional immunoglobulin heavy variable 3-38	22732.5	18391.6	21314.7	19461.5	21785.1	19863.2	20110.9	20476.9	10034.1
A0A0C4DH38	A0A0C4DH38	HV551_HUMAN	IGHV5-51	Immunoglobulin heavy variable 5-51	23266.9	27463.2	20471.5	19696.6	22789.6	20910.8	15492	12248.7	35443
A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08	P01825;P0DP08;P0DP06;P01824;A0A0J9YWU9;P06331;A0A0C4DH41	HV434_HUMAN;HV439_HUMAN;HV459_HUMAN;HV461_HUMAN;HVD34_HUMAN;HVD82_HUMAN	IGHV4-30-4;IGHV4-34;IGHV4-38-2;IGHV4-39;IGHV4-59;IGHV4-61	Immunoglobulin heavy variable 4-61	12138	19191.4	18402.7	18316.7	16004.4	18871.5	11280.5	10753.6	23620.5
A0A0C4DH67	A0A0C4DH67	KV108_HUMAN	IGKV1-8	Immunoglobulin kappa variable 1-8	15811.3	16338.5	20391.7	18311.5	18097.2	15062.9	14027.4	17425.7	15687.1
A0A0C4DH73;P01597;P01611;P04432	P01611;P04432;A0A0C4DH73;A0A0C4DH72;P01597	KV112_HUMAN;KV139_HUMAN;KVD12_HUMAN;KVD39_HUMAN	IGKV1-12;IGKV1-39;IGKV1D-12;IGKV1D-39	Immunoglobulin kappa variable 1-12	32066.9	30986	34109.2	30412.4	33984.8	34190	34122.1	23960.6	36151.5
A0A0C4DH73;P01611	P01611;A0A0C4DH73	KV112_HUMAN;KVD12_HUMAN	IGKV1-12;IGKV1D-12	Immunoglobulin kappa variable 1-12	7566.87	7655.69	6312.19	5466.94		5753.94	5655.48		32333.7
A0A0G2JRQ6	A0A0G2JRQ6	A0A0G2JRQ6_HUMAN		Ig-like domain-containing protein (Fragment)	7290.15	5779.38	6735.31	6741.93	4843.72	4568.21	6644.33	6666.76	6441.78
A0A0J9YX35	A0A0J9YX35	HV64D_HUMAN	IGHV3-64D	Immunoglobulin heavy variable 3-64D	14505	17224.4	15265.4	18716.4	18243.5	17612.3	17520.1	21760.6	39924.7
A0A0J9YXX1	A0A0J9YXX1	HV5X1_HUMAN	IGHV5-10-1	Immunoglobulin heavy variable 5-10-1	587.891	614.5	420.061	265.144	535.584	1238.82	425.917	659.073	339.168
A0A0J9YY99	A0A0J9YY99	A0A0J9YY99_HUMAN		Ig-like domain-containing protein (Fragment)	26029.8	20478.3	21891.9	29722	36479.3	47549.6	66664.4	80037.6	74742.7
A0M8Q6	A0M8Q6	IGLC7_HUMAN	IGLC7	Immunoglobulin lambda constant 7	1737.25	2051.77	2489.41	1859.87	2035.91	1684.94	1632.16	904.746	1206.95
A0M8Q6;B9A064;P0CG04	P0CG04;B9A064;P0CF74;A0M8Q6;P0DOY2	IGLC1_HUMAN;IGLC7_HUMAN;IGLL5_HUMAN	IGLC1;IGLC7;IGLL5	Immunoglobulin lambda constant 7	635.971	869.755	1100.95	1647.03	1718.46	1316.87	1605.18	1027.54	1787.01
A0M8Q6;B9A064;P0CG04;P0DOY3	P0DOY3;P0CG04;B9A064;P0CF74;A0M8Q6;P0DOY2	IGLC1_HUMAN;IGLC3_HUMAN;IGLC7_HUMAN;IGLL5_HUMAN	IGLC1;IGLC3;IGLC7;IGLL5	Immunoglobulin lambda constant 7	75548.4	75387.6	47744.4	49866.1	32692.2	18458.1	21952.7	24430.5	13011.8
A0M8Q6;P0CG04;P0DOY3	P0DOY3;P0CG04;B9A064;P0CF74;A0M8Q6;P0DOY2	IGLC1_HUMAN;IGLC3_HUMAN;IGLC7_HUMAN	IGLC1;IGLC3;IGLC7	Immunoglobulin lambda constant 7	1652.66	7744.63	8197.11	7000.42	2070.66	4463.95	4713.29	4387.83	23822.4
A0M8Q6;P0DOY3	P0DOY3;P0CF74;A0M8Q6;P0DOY2	IGLC3_HUMAN;IGLC7_HUMAN	IGLC3;IGLC7	Immunoglobulin lambda constant 7	1.56733e+06	1.37971e+06	987247	985977	1.02727e+06	802980	716725	1.14922e+06	2.57993e+06
A1L4H1	A1L4H1	SRCRL_HUMAN	SSC5D	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D	8688.07	8695.78	8969.49	9081.6	10173	8799.29	9051.43	9243.96	8505.25
A2RU67	A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B	845.834	2118.38	1482.87	2271.23	414.739	1054.67			
A6NGN9	A6NGN9	IGLO5_HUMAN	IGLON5	IgLON family member 5	10936.5	11358.4	8301.8	10432.8	8994.78	11247	11274.5	9991.57	10088.5
A6NHL2	A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1191.41								
A6NL88	A6NL88	SHSA7_HUMAN	SHISA7	Protein shisa-7	1197.04	832.979	465.378	1875.07	917.748	456.04	1797.24		
A6NLU5	A6NLU5	VTM2B_HUMAN	VSTM2B	V-set and transmembrane domain-containing protein 2B	14717.1	14215.4	16517	15206.6	15211.4	11864.5	17588.4	14757	19384.3
A6PVC2	A6PVC2	TTLL8_HUMAN	TTLL8	Protein monoglycylase TTLL8	5552.97	5729.23	7514.75	6688.49	5757.22	5324.71	5990.55	6935.26	5187.49
B2RUY7	B2RUY7	VWC2L_HUMAN	VWC2L	von Willebrand factor C domain-containing protein 2-like	2100.72	2488.51	2055.47	2507.07	2101.69	2392.16	2185.62	2146.89	1210.08
B4DU55;O94892;Q3MJ62;Q52M93;Q6P3V2;Q8N184;Q8N883;Q8N8J6;Q9GZX5	Q8N184;Q9GZX5;Q52M93;Q6P3V2;Q3MJ62;B4DU55;Q8N8J6;O94892;Q8N883	Z585A_HUMAN;Z585B_HUMAN;ZN350_HUMAN;ZN432_HUMAN;ZN567_HUMAN;ZN614_HUMAN;ZN615_HUMAN;ZN879_HUMAN;ZSC23_HUMAN	ZNF350;ZNF432;ZNF567;ZNF585A;ZNF585B;ZNF614;ZNF615;ZNF879;ZSCAN23	Zinc finger protein 879	1351.48	282.529		1046.01	949.187	705.182	445.005	826.323	
B9A064;P0CG04	P0CG04;B9A064	IGLC1_HUMAN;IGLL5_HUMAN	IGLC1;IGLL5	Immunoglobulin lambda-like polypeptide 5	256360	278261	223174	205002	201706	151067	143256	220214	844750
B9A064;P0CG04;P0DOY3	P0DOY3;P0CG04;B9A064;P0DOY2	IGLC1_HUMAN;IGLC3_HUMAN;IGLL5_HUMAN	IGLC1;IGLC3;IGLL5	Immunoglobulin lambda-like polypeptide 5	74774.2	72017.5	64574.8	69096.6	67683.1	63445.4	53478.6	45050.1	56579.5
I3L3R5	I3L3R5	CCER2_HUMAN	CCER2	Coiled-coil domain-containing glutamate-rich protein 2	2625.45	2660.35	2322.45	2959.11	1700.59	3083.56	3184.76	2549.84	2951.6
O00115	O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	1843.76	1544.92	1941.13	3239.5	2070.72	1962.25	1959.9	1806.73	2922.81
O00187	O00187	MASP2_HUMAN	MASP2	Mannan-binding lectin serine protease 2	13989	13083.4	14905.8	15954.8	15032.1	15343.1	15688.1	15193.5	11574.6
O00241	O00241	SIRB1_HUMAN	SIRPB1	Signal-regulatory protein beta-1	974.173	375.463	625.248	1050.03	700.487	528.794	1049.08	650.138	841.448
O00241;P78324	P78324;O00241	SHPS1_HUMAN;SIRB1_HUMAN	SIRPA;SIRPB1	Signal-regulatory protein beta-1	66270.5	30641.8	46192.2	21113.6	40858.8	28679.7	71960.4	44031.4	44844.2
O00244	O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	1940.52	1990.52	1912.91	2213.1	1942.02	2027.53	2353.61	2126.15	2732.06
O00264	O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	14873.3	15108.1	15607.3	15408.6	15111.1	21159.9	16124.3	16284.7	14218.6
O00292	O00292	LFTY2_HUMAN	LEFTY2	Left-right determination factor 2	846.328	844.218	794.012	622.704	400.079	696.823	217.293	396.986	594.561
O00299	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1356.99	2589.64	812.998	1088.05	1032.51	1387.22	858.643	545.389	
O00339	O00339	MATN2_HUMAN	MATN2	Matrilin-2	4342.84	3650.32	4520.89	4393.51	5025.62	4855.74	4749.11	4253.88	4148.34
O00391	O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	50093.2	49182.4	50692.5	53911.3	49041	49397.6	48875.4	50218.3	53233.5
O00410	O00410	IPO5_HUMAN	IPO5	Importin-5		853.149	672.626	226.137	276.488	370.842	242.522		
O00451	O00451	GFRA2_HUMAN	GFRA2	GDNF family receptor alpha-2	22910.4	21725.2	20293.2	22288.7	22368.1	20667.3	21446.8	20950.8	46340
O00461	O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	34206.1	35539.4	38240.9	38724.8	36284.5	39227.1	33225.5	32303.8	37593.9
O00462	O00462	MANBA_HUMAN	MANBA	Beta-mannosidase	14656.6	14333.9	14458.6	14708.1	15079	13978.1	14297.4	14694.1	16552.3
O00468	O00468	AGRIN_HUMAN	AGRN	Agrin	75968.9	76216.8	72065.3	73562.5	73576.5	70927	73495.1	70817.9	68530.9
O00471	O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	7495.42	8582.25	8253.08	7698.88	8568.38	7612.11	7939.85	5526.9	5004.53
O00499	O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1		586.53	550.127	450.051	1067.96	529.198			758.244
O00533	O00533	NCHL1_HUMAN	CHL1	Neural cell adhesion molecule L1-like protein	1.11674e+06	1.13724e+06	1.05798e+06	1.00752e+06	1.05141e+06	1.02675e+06	1.07892e+06	1.00968e+06	1.17478e+06
O00548	O00548	DLL1_HUMAN	DLL1	Delta-like protein 1	3575.17	4085.52	3752.57	3760.11	3793.14	4255.15	3545.59	4200.04	1774.19
O00560	O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	4656.25	4366.73	3913.25	4127.57	3730.24	3706.11	3250.81	4059.65	3297.24
O00567	O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	1421.85	844.733	445.119	750.455	667.984	781.774	570.873		
O00584	O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	65386.5	63807.7	66117.5	67664.6	66915.4	63235.8	70780.9	68849.3	67562.7
O00622	O00622	CCN1_HUMAN	CCN1	CCN family member 1	711.667	894.25	1013.96	763.248	1182.58	1214.47	1168.95	369.742	609.185
O00754	O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	4549.75	5149.9	4884.91	5483.63	4692.99	4418.59	5360.96	4453.58	4990.82
O00764	O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	1411.27	2629.13	1355.42	2220.05	2097.07	2782.6	2236.09	1450.31	4733.53
O14498	O14498	ISLR_HUMAN	ISLR	Immunoglobulin superfamily containing leucine-rich repeat protein	64782.6	62215.1	61431.3	56345.3	59961	56298.3	56255.8	57617.2	75842.8
O14514	O14514	AGRB1_HUMAN	ADGRB1	Adhesion G protein-coupled receptor B1	13013.7	10488.5	12071.9	11901.4	12165.2	11880.9	11927.2	12364.3	12970.5
O14522	O14522	PTPRT_HUMAN	PTPRT	Receptor-type tyrosine-protein phosphatase T	6985.73	7143.94	7016.75	6883.44	6738.11	6022.65	6406.5	7974.44	7501.76
O14525	O14525	ASTN1_HUMAN	ASTN1	Astrotactin-1	4303.09	4266.37	3940	3981.79	3609.61	2937.4	3965.55	3407.65	3719.49
O14594	O14594	NCAN_HUMAN	NCAN	Neurocan core protein	50309.6	49219.6	45521.6	45696.1	44345.4	43199.5	40719.9	40932.4	53614.4
O14594;Q96GW7	O14594;Q96GW7	NCAN_HUMAN;PGCB_HUMAN	BCAN;NCAN	Neurocan core protein	66460.5	55919.5	55356.9	45275.6	49330	45239.7	46341.3	44704.8	145969
O14668	O14668	TMG1_HUMAN	PRRG1	Transmembrane gamma-carboxyglutamic acid protein 1	576.346						1455.83	6079.55	1468.11
O14672	O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	6242.17	6801.45	6579.56	6718.22	7898.68	6777.14	7128.05	6679.16	7200.19
O14745	O14745	NHRF1_HUMAN	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	3905.89	2632.35	3957.89	2505.25	2375.48	2866.85	2944.34	3522.36	4015.73
O14773	O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	37712	38124.8	36922.5	37710.7	37757.1	38293.1	39571.1	38594.3	34650.2
O14786	O14786	NRP1_HUMAN	NRP1	Neuropilin-1	20550.8	21410.2	21611.6	21007.9	20856	20432.1	19940.6	19677.5	19948.8
O14791	O14791	APOL1_HUMAN	APOL1	Apolipoprotein L1	41754.4	38045	41632.6	42191.6	42789.4	45364.6	34686.2	31357.3	57054.5
O14793	O14793	GDF8_HUMAN	MSTN	Growth/differentiation factor 8	4378.32	4099.33	3898.34	3012.72	4684.23	2661.17	3420.16	3363.45	4784.86
O14810	O14810	CPLX1_HUMAN	CPLX1	Complexin-1					627.833	121.726			
O14818	O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	1972.92	1967.43	1771	1560.94	1842.44	1470.12	1806.74	1596.41	1821.84
O14917	O14917	PCD17_HUMAN	PCDH17	Protocadherin-17	26886.3	29069.6	27642.6	28585.3	28475	27076.3	27029.1	25453.9	26347.3
O14960	O14960	LECT2_HUMAN	LECT2	Leukocyte cell-derived chemotaxin-2	1616.53	2770.96	1671.14	2016.03	2632.1	1543.27	2001.38	2274.8	2696.4
O15031	O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	20220.3	20061.4	20903.4	20532.4	20240.1	20388.2	20999.9	20399	19976.1
O15041	O15041	SEM3E_HUMAN	SEMA3E	Semaphorin-3E	2293.17	3974.02	3249.33	3213.23	3353.1	3197.7	2299.94	3038	3100.41
O15118	O15118	NPC1_HUMAN	NPC1	NPC intracellular cholesterol transporter 1	6887.66	7438.84	7883.72	7396.08	6259.71	7718.79	6843.78	8801.62	8910.36
O15197	O15197	EPHB6_HUMAN	EPHB6	Ephrin type-B receptor 6	12174.9	12282.8	13170.4	11533.2	12540.3	9947.82	10890	11483.7	9699.83
O15204	O15204	ADEC1_HUMAN	ADAMDEC1	ADAM DEC1	3867.37	3501.19	2654.69	3251.53	4791.52	4433.18	4412.1	3877.36	3134.17
O15230	O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	5861.09	6193.85	5628.5	5463.8	5815.4	6032.77	6187.37	5251.61	6241.24
O15230;Q16787	O15230;Q16787	LAMA3_HUMAN;LAMA5_HUMAN	LAMA3;LAMA5	Laminin subunit alpha-5	3047.43	3061.86	3483.71	2821.05	3065.57	3722.71	4060.95	3798.09	4061.04
O15232	O15232	MATN3_HUMAN	MATN3	Matrilin-3	1112.54	812.554	1161.61	1147.38	1278.66	1237.22	1172.92	810.098	172.521
O15240	O15240	VGF_HUMAN	VGF	Neurosecretory protein VGF	187166	175305	169253	164286	164735	170212	163285	166477	193628
O15335	O15335	CHAD_HUMAN	CHAD	Chondroadherin	2827.76	3625.42	2893.08	2910.28	2863.2	2380.21	2126.4	2424.52	2993.1
O15354	O15354	GPR37_HUMAN	GPR37	Prosaposin receptor GPR37	19968.1	23029.4	22703.8	25900.9	17818.1	17228.5	21185.1	23844.3	18855.2
